NAME(Used only as reminder for value);VALUE;LABEL
OdBm::DisplayUnitType::DUT_DECANEWTONS_PER_SQUARE_METER;104;Decanewtons per square meter
OdBm::DisplayUnitType::DUT_KILONEWTONS_PER_SQUARE_METER;105;Kilonewtons per square meter
OdBm::DisplayUnitType::DUT_MEGANEWTONS_PER_SQUARE_METER;106;Meganewtons per square meter
OdBm::DisplayUnitType::DUT_KIPS_PER_SQUARE_FOOT;107;Kips per square foot
OdBm::DisplayUnitType::DUT_KILOGRAMS_FORCE_PER_SQUARE_METER;108;Kilograms force per square meter
OdBm::DisplayUnitType::DUT_TONNES_FORCE_PER_SQUARE_METER;109;Tonnes force per square meter
OdBm::DisplayUnitType::DUT_POUNDS_FORCE_PER_SQUARE_FOOT;110;Pounds per square foot
OdBm::DisplayUnitType::DUT_NEWTON_METERS;111;Newton-meters
OdBm::DisplayUnitType::DUT_DECANEWTON_METERS;112;Decanewton-meters
OdBm::DisplayUnitType::DUT_KILONEWTON_METERS;113;Kilonewton-meters
OdBm::DisplayUnitType::DUT_MEGANEWTON_METERS;114;Meganewton-meters
OdBm::DisplayUnitType::DUT_KIP_FEET;115;Kip-feet
OdBm::DisplayUnitType::DUT_KILOGRAM_FORCE_METERS;116;Kilogram force-meters
OdBm::DisplayUnitType::DUT_TONNE_FORCE_METERS;117;Tonne force-meters
OdBm::DisplayUnitType::DUT_POUND_FORCE_FEET;118;Pound-feet
OdBm::DisplayUnitType::DUT_METERS_PER_KILONEWTON;119;Meters per kilonewton
OdBm::DisplayUnitType::DUT_FEET_PER_KIP;120;Feet per kip
OdBm::DisplayUnitType::DUT_SQUARE_METERS_PER_KILONEWTON;121;Square meters per kilonewton
OdBm::DisplayUnitType::DUT_SQUARE_FEET_PER_KIP;122;Square feet per kip
OdBm::DisplayUnitType::DUT_CUBIC_METERS_PER_KILONEWTON;123;Cubic meters per kilonewton
OdBm::DisplayUnitType::DUT_CUBIC_FEET_PER_KIP;124;Cubic feet per kip
OdBm::DisplayUnitType::DUT_INV_KILONEWTONS;125;Inverse kilonewtons
OdBm::DisplayUnitType::DUT_INV_KIPS;126;Inverse kips
OdBm::DisplayUnitType::DUT_FEET_OF_WATER_PER_100FT;127;Feet of water (39.2 °F) per 100 feet
OdBm::DisplayUnitType::DUT_FEET_OF_WATER;128;Feet of water (39.2 °F)
OdBm::DisplayUnitType::DUT_PASCAL_SECONDS;129;Pascal seconds
OdBm::DisplayUnitType::DUT_POUNDS_MASS_PER_FOOT_SECOND;130;Pounds per foot second
OdBm::DisplayUnitType::DUT_CENTIPOISES;131;Centipoises
OdBm::DisplayUnitType::DUT_FEET_PER_SECOND;132;Feet per second
OdBm::DisplayUnitType::DUT_KIPS_PER_SQUARE_INCH;133;Kips per square inch
OdBm::DisplayUnitType::DUT_KILONEWTONS_PER_CUBIC_METER;134;Kilonewtons per cubic meter
OdBm::DisplayUnitType::DUT_POUNDS_FORCE_PER_CUBIC_FOOT;135;Pounds per cubic foot
OdBm::DisplayUnitType::DUT_KIPS_PER_CUBIC_INCH;136;Kips per cubic inch
OdBm::DisplayUnitType::DUT_INV_FAHRENHEIT;137;Inverse degrees Fahrenheit
OdBm::DisplayUnitType::DUT_INV_CELSIUS;138;Inverse degrees Celsius
OdBm::DisplayUnitType::DUT_NEWTON_METERS_PER_METER;139;Newton-meters per meter
OdBm::DisplayUnitType::DUT_DECANEWTON_METERS_PER_METER;140;Decanewton-meters per meter
OdBm::DisplayUnitType::DUT_KILONEWTON_METERS_PER_METER;141;Kilonewton-meters per meter
OdBm::DisplayUnitType::DUT_MEGANEWTON_METERS_PER_METER;142;Meganewton-meters per meter
OdBm::DisplayUnitType::DUT_KIP_FEET_PER_FOOT;143;Kip-feet per foot
OdBm::DisplayUnitType::DUT_KILOGRAM_FORCE_METERS_PER_METER;144;Kilogram force-meters per meter
OdBm::DisplayUnitType::DUT_TONNE_FORCE_METERS_PER_METER;145;Tonne force-meters per meter
OdBm::DisplayUnitType::DUT_POUND_FORCE_FEET_PER_FOOT;146;Pound-feet per foot
OdBm::DisplayUnitType::DUT_POUNDS_MASS_PER_FOOT_HOUR;147;Pounds per foot hour
OdBm::DisplayUnitType::DUT_KIPS_PER_INCH;148;Kips per inch
OdBm::DisplayUnitType::DUT_KIPS_PER_CUBIC_FOOT;149;Kips per cubic foot
OdBm::DisplayUnitType::DUT_KIP_FEET_PER_DEGREE;150;Kip feet per degree
OdBm::DisplayUnitType::DUT_KILONEWTON_METERS_PER_DEGREE;151;Kilonewton meters per degree
